open_time,close_time,strat,dir,entry,exit,lots,pnl,commission,swap,market_state_on_open,liquidity_score_on_open,slippage,exec_ms,was_limit
2026.02.02 11:16:30,2026.02.02 11:16:38,EMA,1,4636.13000,4634.10000,0.01,-2.03,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 11:25:17,2026.02.02 11:25:53,EMA,1,4644.22000,4657.78000,0.01,13.56,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 11:46:19,2026.02.02 11:46:28,EMA,1,4699.10000,4697.12000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 12:12:05,2026.02.02 12:14:40,EMA,1,4717.20000,4729.39000,0.01,12.19,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 12:41:00,2026.02.02 12:41:04,EMA,1,4689.44000,4687.28000,0.01,-2.16,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 12:43:38,2026.02.02 12:45:16,EMA,-1,4679.55000,4666.82000,0.01,12.73,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 14:01:18,2026.02.02 14:01:20,EMA,1,4773.62000,4771.59000,0.01,-2.03,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 14:11:29,2026.02.02 14:11:38,EMA,1,4771.52000,4769.51000,0.01,-2.01,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 14:39:03,2026.02.02 14:41:42,EMA,1,4779.51000,4786.71000,0.01,7.20,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.02 15:41:30,2026.02.02 15:41:37,EMA,1,4679.04000,4677.09000,0.01,-1.95,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 11:09:00,2026.02.03 11:09:28,EMA,1,4922.94000,4920.77000,0.01,-2.17,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 11:11:00,2026.02.03 11:11:38,EMA,-1,4911.63000,4913.71000,0.01,-2.08,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 11:37:00,2026.02.03 11:42:29,EMA,1,4909.67000,4917.98000,0.01,8.31,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 12:06:19,2026.02.03 12:06:29,EMA,1,4918.44000,4916.48000,0.01,-1.96,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 12:07:20,2026.02.03 12:07:37,EMA,-1,4916.03000,4918.02000,0.01,-1.99,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 12:10:40,2026.02.03 12:11:05,EMA,1,4922.08000,4919.98000,0.01,-2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 12:29:04,2026.02.03 12:29:25,EMA,1,4918.54000,4916.55000,0.01,-1.99,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.03 12:30:03,2026.02.03 12:30:13,EMA,-1,4915.81000,4917.76000,0.01,-1.95,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 11:49:35,2026.02.04 11:50:03,EMA,-1,5054.41000,5056.43000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 12:04:14,2026.02.04 12:06:36,EMA,-1,5054.45000,5049.61000,0.01,4.84,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 12:14:37,2026.02.04 12:16:15,EMA,-1,5054.82000,5056.79000,0.01,-1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 12:18:29,2026.02.04 12:18:40,EMA,-1,5050.60000,5052.51000,0.01,-1.91,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 12:55:14,2026.02.04 12:56:20,EMA,-1,5054.81000,5050.63000,0.01,4.18,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:15:27,2026.02.04 14:15:38,EMA,-1,5047.40000,5049.50000,0.01,-2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:16:03,2026.02.04 14:18:35,EMA,1,5047.35000,5045.32000,0.01,-2.03,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:21:46,2026.02.04 14:22:00,EMA,-1,5045.60000,5047.64000,0.01,-2.04,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:40:00,2026.02.04 14:40:38,EMA,-1,5050.50000,5052.59000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:46:36,2026.02.04 14:47:13,EMA,1,5055.27000,5053.29000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.04 14:53:39,2026.02.04 14:57:04,EMA,1,5045.56000,5043.58000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.05 11:01:01,2026.02.05 11:01:03,EMA,-1,4902.69000,4904.50000,0.01,-1.81,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.05 12:21:17,2026.02.05 12:21:27,EMA,-1,4862.24000,4864.29000,0.01,-2.05,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.05 12:46:38,2026.02.05 12:46:41,EMA,-1,4883.67000,4885.67000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.05 12:54:39,2026.02.05 12:55:41,EMA,-1,4875.11000,4877.13000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.05 14:35:31,2026.02.05 14:35:39,EMA,-1,4865.09000,4867.15000,0.01,-2.06,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.06 11:01:27,2026.02.06 11:01:35,EMA,1,4859.46000,4857.46000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.06 11:03:00,2026.02.06 11:03:30,EMA,-1,4855.63000,4848.65000,0.01,6.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.06 11:21:04,2026.02.06 11:22:27,EMA,1,4849.47000,4855.27000,0.01,5.80,-0.03,0.00,0,0.00,0.00000,0,0
